year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,9,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",,,,,,,,,,,,,,,
2022,9,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",75.00,7.00,6.00,0.00,1.00,0.00,0.00,0.00,0.00,239.00,217.00,0.00,22.00,0.00,0.00
2022,9,9E,Endeavor Air Inc.,ACK,"Nantucket, MA: Nantucket Memorial",45.00,2.00,0.89,0.00,0.11,0.00,1.00,0.00,1.00,160.00,17.00,0.00,2.00,0.00,141.00
2022,9,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",60.00,4.00,2.95,1.00,0.00,0.00,0.05,0.00,0.00,232.00,202.00,22.00,0.00,0.00,8.00
2022,9,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",30.00,5.00,3.54,0.00,1.46,0.00,0.00,0.00,0.00,247.00,216.00,0.00,31.00,0.00,0.00
2022,9,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",107.00,15.00,4.30,0.41,3.92,0.00,6.37,0.00,0.00,970.00,262.00,32.00,213.00,0.00,463.00
2022,9,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1376.00,139.00,41.76,8.33,36.79,0.00,52.11,8.00,0.00,8759.00,3377.00,986.00,1257.00,0.00,3139.00
2022,9,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",87.00,9.00,5.63,0.00,1.47,0.00,1.90,0.00,0.00,853.00,705.00,0.00,101.00,0.00,47.00
2022,9,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",42.00,3.00,2.86,0.00,0.14,0.00,0.00,0.00,0.00,253.00,229.00,0.00,24.00,0.00,0.00
2022,9,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",59.00,5.00,0.54,0.00,2.51,0.00,1.94,2.00,0.00,305.00,13.00,0.00,101.00,0.00,191.00
2022,9,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,9,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",77.00,16.00,4.55,1.73,2.75,0.00,6.96,0.00,0.00,1859.00,229.00,748.00,145.00,0.00,737.00
2022,9,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",30.00,4.00,0.97,1.00,1.03,0.00,1.00,0.00,0.00,184.00,30.00,31.00,104.00,0.00,19.00
2022,9,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",166.00,23.00,5.81,1.37,4.27,0.00,11.55,1.00,0.00,1743.00,400.00,50.00,228.00,0.00,1065.00
2022,9,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",34.00,12.00,2.18,0.00,2.58,0.00,7.24,0.00,0.00,800.00,103.00,0.00,112.00,0.00,585.00
2022,9,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2022,9,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",247.00,37.00,10.71,1.32,16.25,0.00,8.72,3.00,1.00,1962.00,859.00,86.00,552.00,0.00,465.00
2022,9,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",86.00,13.00,2.94,0.00,6.51,0.00,3.54,1.00,0.00,1191.00,447.00,0.00,390.00,0.00,354.00
2022,9,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",64.00,1.00,0.00,0.50,0.50,0.00,0.00,2.00,0.00,74.00,0.00,37.00,37.00,0.00,0.00
2022,9,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",144.00,20.00,4.85,0.52,6.95,0.00,7.68,1.00,0.00,1025.00,261.00,36.00,198.00,0.00,530.00
2022,9,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",223.00,34.00,7.60,0.18,14.01,0.00,12.21,4.00,1.00,2139.00,278.00,21.00,585.00,0.00,1255.00
2022,9,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",93.00,11.00,5.87,0.07,1.56,0.00,3.50,1.00,0.00,1177.00,820.00,5.00,42.00,0.00,310.00
2022,9,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",34.00,7.00,0.26,0.00,2.21,0.00,4.53,0.00,0.00,508.00,10.00,0.00,96.00,0.00,402.00
2022,9,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field",60.00,7.00,2.72,0.00,4.28,0.00,0.00,0.00,0.00,200.00,88.00,0.00,112.00,0.00,0.00
2022,9,9E,Endeavor Air Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",128.00,19.00,6.32,0.00,7.43,0.00,5.25,1.00,2.00,1022.00,284.00,0.00,312.00,0.00,426.00
2022,9,9E,Endeavor Air Inc.,CHS,"Charleston, SC: Charleston AFB/International",200.00,34.00,5.34,0.00,20.00,0.00,8.66,13.00,0.00,1628.00,213.00,0.00,574.00,0.00,841.00
2022,9,9E,Endeavor Air Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",91.00,12.00,8.17,0.00,1.11,0.00,2.71,0.00,0.00,2263.00,2078.00,0.00,23.00,0.00,162.00
2022,9,9E,Endeavor Air Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",242.00,34.00,10.62,0.00,12.32,0.00,11.07,4.00,0.00,2709.00,964.00,0.00,674.00,0.00,1071.00
2022,9,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",268.00,31.00,5.30,0.00,11.89,0.00,13.81,9.00,0.00,2717.00,341.00,0.00,1065.00,0.00,1311.00
2022,9,9E,Endeavor Air Inc.,CMH,"Columbus, OH: John Glenn Columbus International",36.00,5.00,0.66,0.00,3.08,0.00,1.26,0.00,0.00,341.00,21.00,0.00,142.00,0.00,178.00
2022,9,9E,Endeavor Air Inc.,CRW,"Charleston/Dunbar, WV: Yeager",36.00,4.00,2.00,1.00,0.11,0.00,0.89,0.00,0.00,151.00,78.00,17.00,6.00,0.00,50.00
2022,9,9E,Endeavor Air Inc.,CSG,"Columbus, GA: Columbus Airport",81.00,2.00,0.26,0.00,1.74,0.00,0.00,0.00,0.00,66.00,12.00,0.00,54.00,0.00,0.00
2022,9,9E,Endeavor Air Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",547.00,64.00,19.11,0.00,23.20,0.00,21.69,2.00,0.00,6029.00,1463.00,0.00,974.00,0.00,3592.00
2022,9,9E,Endeavor Air Inc.,CWA,"Mosinee, WI: Central Wisconsin",90.00,8.00,7.89,0.00,0.11,0.00,0.00,0.00,0.00,638.00,628.00,0.00,10.00,0.00,0.00
