year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2019,9,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",54.00,4.00,2.57,0.00,0.50,0.00,0.93,0.00,0.00,126.00,89.00,0.00,9.00,0.00,28.00
2019,9,9E,Endeavor Air Inc.,ACK,"Nantucket, MA: Nantucket Memorial",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2019,9,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",105.00,6.00,3.67,0.75,1.25,0.00,0.33,0.00,0.00,181.00,126.00,21.00,25.00,0.00,9.00
2019,9,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",130.00,13.00,7.06,2.00,3.22,0.00,0.72,0.00,0.00,481.00,269.00,94.00,76.00,0.00,42.00
2019,9,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",23.00,2.00,1.31,0.00,0.69,0.00,0.00,0.00,0.00,111.00,78.00,0.00,33.00,0.00,0.00
2019,9,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3073.00,225.00,56.94,10.47,57.73,0.00,99.85,8.00,7.00,18562.00,6973.00,1025.00,2631.00,0.00,7933.00
2019,9,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",52.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,215.00,0.00,0.00,215.00,0.00,0.00
2019,9,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",39.00,3.00,2.27,0.00,0.09,0.00,0.64,0.00,0.00,210.00,165.00,0.00,3.00,0.00,42.00
2019,9,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",140.00,10.00,6.17,0.00,3.22,0.00,0.61,0.00,0.00,514.00,359.00,0.00,127.00,0.00,28.00
2019,9,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",25.00,5.00,0.00,0.00,1.05,0.00,3.95,0.00,0.00,286.00,0.00,0.00,25.00,0.00,261.00
2019,9,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",110.00,22.00,6.13,1.00,6.54,0.00,8.33,0.00,0.00,1418.00,581.00,16.00,279.00,0.00,542.00
2019,9,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2019,9,9E,Endeavor Air Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",47.00,7.00,3.80,0.00,0.30,0.00,2.90,0.00,0.00,546.00,351.00,0.00,20.00,0.00,175.00
2019,9,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",79.00,5.00,2.82,0.00,2.18,0.00,0.00,0.00,1.00,247.00,204.00,0.00,43.00,0.00,0.00
2019,9,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",93.00,9.00,2.21,1.00,3.51,0.00,2.28,1.00,0.00,553.00,160.00,48.00,226.00,0.00,119.00
2019,9,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",330.00,31.00,6.59,0.00,16.13,0.00,8.29,3.00,0.00,2505.00,481.00,0.00,1389.00,0.00,635.00
2019,9,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",161.00,8.00,2.95,0.00,2.08,0.00,2.97,0.00,2.00,371.00,185.00,0.00,50.00,0.00,136.00
2019,9,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",233.00,35.00,8.36,0.00,13.11,0.00,13.54,0.00,0.00,1909.00,566.00,0.00,488.00,0.00,855.00
2019,9,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",220.00,18.00,9.30,0.95,4.25,0.00,3.50,1.00,0.00,873.00,399.00,82.00,165.00,0.00,227.00
2019,9,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",222.00,17.00,4.04,0.00,4.31,0.00,8.65,1.00,0.00,1051.00,118.00,0.00,122.00,0.00,811.00
2019,9,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",22.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,33.00,0.00,0.00,0.00,0.00
2019,9,9E,Endeavor Air Inc.,CAK,"Akron, OH: Akron-Canton Regional",55.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,42.00,20.00,0.00,0.00,0.00,22.00
2019,9,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field",69.00,6.00,1.00,1.00,2.03,0.00,1.98,0.00,0.00,1273.00,18.00,484.00,672.00,0.00,99.00
2019,9,9E,Endeavor Air Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",171.00,22.00,7.97,1.00,4.14,0.00,8.89,0.00,2.00,3915.00,515.00,642.00,970.00,0.00,1788.00
2019,9,9E,Endeavor Air Inc.,CHS,"Charleston, SC: Charleston AFB/International",20.00,2.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,69.00,0.00,0.00,0.00,0.00,69.00
2019,9,9E,Endeavor Air Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",114.00,10.00,2.64,0.98,3.38,0.00,3.00,0.00,1.00,556.00,280.00,42.00,157.00,0.00,77.00
