year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2015,9,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",1500.00,291.00,86.22,16.06,135.86,0.00,52.86,10.00,4.00,15252.00,5540.00,990.00,5951.00,0.00,2771.00
2015,9,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",3192.00,464.00,144.64,23.21,169.53,2.60,124.02,11.00,1.00,27287.00,9942.00,1126.00,5959.00,88.00,10172.00
2015,9,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",11899.00,1037.00,402.28,39.33,175.66,5.01,414.72,48.00,20.00,79798.00,38096.00,2651.00,5696.00,226.00,33129.00
2015,9,AA,American Airlines Inc.,OKC,"Oklahoma City, OK: Will Rogers World",133.00,20.00,10.27,0.26,0.81,0.00,8.66,0.00,0.00,867.00,432.00,6.00,32.00,0.00,397.00
2015,9,AA,American Airlines Inc.,OGG,"Kahului, HI: Kahului Airport",127.00,23.00,10.14,0.00,12.09,0.00,0.77,0.00,0.00,1573.00,1006.00,0.00,359.00,0.00,208.00
2015,9,AA,American Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",218.00,47.00,23.44,0.00,21.57,0.00,1.99,0.00,3.00,2007.00,1349.00,0.00,530.00,0.00,128.00
2015,9,AA,American Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",1362.00,192.00,66.28,8.98,77.38,0.00,39.35,3.00,0.00,9898.00,3770.00,466.00,2892.00,0.00,2770.00
2015,9,AA,American Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",795.00,102.00,48.19,2.62,17.55,0.00,33.63,4.00,4.00,4305.00,2295.00,86.00,545.00,0.00,1379.00
2015,9,AA,American Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",1245.00,147.00,60.66,6.50,26.27,0.70,52.87,1.00,0.00,7607.00,3233.00,354.00,869.00,12.00,3139.00
2015,9,AA,American Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",3768.00,543.00,159.98,19.25,251.29,2.92,109.56,21.00,2.00,27445.00,9567.00,1402.00,8955.00,109.00,7412.00
2015,9,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",4756.00,691.00,187.01,27.01,285.66,0.38,190.95,24.00,12.00,40517.00,11467.00,2073.00,13606.00,6.00,13365.00
2015,9,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4209.00,863.00,218.91,18.92,421.84,3.44,199.90,23.00,27.00,48966.00,17832.00,1384.00,14775.00,155.00,14820.00
2015,9,AA,American Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",346.00,33.00,14.65,1.62,7.17,0.00,9.56,1.00,0.00,1666.00,746.00,62.00,305.00,0.00,553.00
2015,9,AA,American Airlines Inc.,TUS,"Tucson, AZ: Tucson International",207.00,22.00,16.28,0.00,0.47,0.00,5.26,0.00,2.00,937.00,559.00,0.00,36.00,0.00,342.00
2015,9,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",919.00,158.00,63.87,5.16,45.94,0.29,42.73,3.00,4.00,9203.00,3659.00,390.00,1789.00,12.00,3353.00
2015,9,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1427.00,311.00,93.87,14.09,121.88,0.17,80.99,2.00,2.00,15881.00,4851.00,1293.00,5110.00,8.00,4619.00
2015,9,AA,American Airlines Inc.,RNO,"Reno, NV: Reno/Tahoe International",188.00,16.00,8.76,0.92,1.54,0.00,4.79,0.00,0.00,664.00,412.00,22.00,33.00,0.00,197.00
2015,9,AA,American Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",336.00,39.00,16.01,1.32,12.81,0.00,8.86,0.00,0.00,1905.00,947.00,151.00,363.00,0.00,444.00
2015,9,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",2480.00,409.00,122.58,17.33,164.10,2.37,102.63,31.00,1.00,20328.00,7057.00,912.00,6543.00,125.00,5691.00
2015,9,AA,American Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",758.00,115.00,42.21,4.60,39.48,0.23,28.49,1.00,0.00,4997.00,1989.00,286.00,1266.00,15.00,1441.00
